"CUSEC","army","army_noHQ","army_nb","army_nb10","army_nb5","army_nb2","army_noHQ_nb","army_noHQ_nb10","army_noHQ_nb5","army_noHQ_nb2"
"0105905034",0,0,0,0,0,0,0,0,0,0
"0105905036",0,0,0,0,0,0,0,0,0,0
"0200301001",0,0,0,1,0,0,0,1,0,0
"0200301003",0,0,0,1,0,0,0,1,0,0
"0200302001",0,0,0,1,0,0,0,1,0,0
"0200302003",0,0,0,1,1,0,0,1,1,0
"0200302018",0,0,0,1,1,0,0,1,1,0
"0200302020",0,0,0,1,1,0,0,1,1,0
"0200303011",0,0,0,1,0,0,0,1,0,0
"0105905026",0,0,0,0,0,0,0,0,0,0
"0105905027",0,0,0,0,0,0,0,0,0,0
"0106201001",0,0,0,0,0,0,0,0,0,0
"0106301001",0,0,0,0,0,0,0,0,0,0
"0200301009",0,0,0,1,0,0,0,1,0,0
"0200301012",0,0,0,1,0,0,0,1,0,0
"0200302009",0,0,1,1,1,0,1,1,1,0
"0200302010",0,0,0,1,1,0,0,1,1,0
"0200303003",0,0,0,1,0,0,0,1,0,0
"0200303004",0,0,0,1,0,0,0,1,0,0
"0200304004",0,0,0,1,0,0,0,1,0,0
"0200304007",0,0,0,1,0,0,0,1,0,0
"0200101001",0,0,0,0,0,0,0,0,0,0
"0200302005",0,0,0,1,1,0,0,1,1,0
"0200302007",0,0,0,1,1,0,0,1,1,0
"0200302014",0,0,0,1,1,0,0,1,1,0
"0200302016",0,0,0,1,1,0,0,1,1,0
"0200304001",0,0,0,1,0,0,0,1,0,0
"0200304003",0,0,0,1,0,0,0,1,0,0
"0200304008",0,0,0,1,0,0,0,1,0,0
"0200304010",0,0,0,1,0,0,0,1,0,0
"0200304012",0,0,0,1,0,0,0,1,0,0
"0200306006",0,0,0,1,0,0,0,1,0,0
"0200301016",0,0,0,1,0,0,0,1,0,0
"0200302006",0,0,0,1,1,0,0,1,1,0
"0200302013",0,0,0,1,0,0,0,1,0,0
"0200302024",0,0,1,1,1,0,1,1,1,0
"0200303007",0,0,0,1,1,0,0,1,1,0
"0200303014",0,0,1,1,1,0,1,1,1,0
"0200304011",0,0,1,1,0,0,1,1,0,0
"0200305004",0,0,0,1,0,0,0,1,0,0
"0200305011",0,0,0,1,0,0,0,1,0,0
"0200306009",0,0,0,1,0,0,0,1,0,0
"0200307002",0,0,0,1,0,0,0,1,0,0
"0200301007",0,0,0,1,0,0,0,1,0,0
"0200301014",0,0,0,1,1,0,0,1,1,0
"0200302008",0,0,0,1,1,0,0,1,1,0
"0200302015",0,0,0,1,1,0,0,1,1,0
"0200302022",0,0,1,1,1,0,1,1,1,0
"0200303009",0,0,0,1,0,0,0,1,0,0
"0200304002",0,0,0,1,0,0,0,1,0,0
"0200304009",0,0,0,1,0,0,0,1,0,0
"0200305006",0,0,0,1,0,0,0,1,0,0
"0200305013",0,0,1,1,0,0,1,1,0,0
"0200306007",0,0,0,1,0,0,0,1,0,0
"0200307004",0,0,0,1,0,0,0,1,0,0
"0200302011",0,0,0,1,1,0,0,1,1,0
"0200302012",0,0,0,1,1,0,0,1,1,0
"0200303002",0,0,0,1,0,0,0,1,0,0
"0200303005",0,0,0,1,1,0,0,1,1,0
"0200304005",0,0,0,1,0,0,0,1,0,0
"0200304006",0,0,0,1,0,0,0,1,0,0
"0200305009",0,0,0,1,0,0,0,1,0,0
"0200305010",0,0,0,1,0,0,0,1,0,0
"0200306011",0,0,0,1,0,0,0,1,0,0
"0200306014",0,0,0,1,0,0,0,1,0,0
"0200307014",0,0,1,1,0,0,1,1,0,0
"0200307015",0,0,0,1,0,0,0,1,0,0
"0200303008",0,0,0,1,1,0,0,1,1,0
"0200305003",0,0,0,1,0,0,0,1,0,0
"0200306001",0,0,0,1,0,0,0,1,0,0
"0200308002",0,0,1,0,0,0,1,0,0,0
"0200902003",0,0,0,0,0,0,0,0,0,0
"0201002001",0,0,0,0,0,0,0,0,0,0
"0201201002",0,0,0,0,0,0,0,0,0,0
"0202401001",0,0,0,0,0,0,0,0,0,0
"0200307009",0,0,0,1,0,0,0,1,0,0
"0200308003",0,0,1,0,0,0,1,0,0,0
"0200904004",0,0,0,0,0,0,0,0,0,0
"0200308006",0,0,1,0,0,0,1,0,0,0
"0200904003",0,0,0,0,0,0,0,0,0,0
"0201001001",0,0,0,0,0,0,0,0,0,0
"0201301001",0,0,0,0,0,0,0,0,0,0
"0201501001",0,0,1,0,0,0,1,0,0,0
"0202801001",0,0,0,0,0,0,0,0,0,0
"0202902001",0,0,1,0,0,0,1,0,0,0
"0200308001",1,1,0,0,0,0,0,0,0,0
"0200901002",0,0,0,0,0,0,0,0,0,0
"0200903004",0,0,0,0,0,0,0,0,0,0
"0200904002",0,0,0,0,0,0,0,0,0,0
"0201601001",0,0,0,0,0,0,0,0,0,0
