reg_militar;lugar;nombre;capacidad;coords;
4;tortosa;fuerte tenaza;60;;
4;tortosa;fuerte bonete;140;40.81603355944714, 0.5244694306915885;
4;tortosa;castillo de san juan;147;40.81603355944714, 0.5244694306915885;
5;zaragoza;cuartel del principe (castillo de la aljaferia);1140;41.65659905206849, -0.8967714010831491;
5;zaragoza;cuartel de santa isabel (castillo de la aljaferia);1140;41.65659905206849, -0.8967714010831491;
5;zaragoza;cuartel del cid;400;41.65449892126907, -0.8924778972280863;
5;zaragoza;cuartel de trinitarios;160;41.65112153342188, -0.8902801495473547;
5;zaragoza;cuartel de torrero;440;41.6335385348132, -0.881616735910904;
5;zaragoza;cuartel de san lazaro;120;41.656445704521744, -0.8693266849142111;
5;zaragoza;cuartel del carmen;400;41.65090756685673, -0.8849204567976949;
5;zaragoza;cuartel de hernan cortes;790;41.64770458040103, -0.8900243240432615;
5;zaragoza;cuartel de san genis;400;41.65273056493918, -0.8874533285425027;
5;zaragoza;cuartel general luque;320;41.69412750723119, -0.876962957228408;
5;zaragoza;cuartel de sementales;106;41.65134087806874, -0.8695979515803332;
5;calatayud;cuartel de la merced;10;;
5;soria;cuartel santa clara;300;41.76186918256774, -2.466263948901892;
5;castellon;cuartel de san francisco;310;39.98016269180085, -0.041250593400262894;
5;castellon;dormitorio de tropa y almacen;72;;
5;castellon;instituto viejo;100;39.98518301159051, -0.037298657961746556;
5;morella;cuartel de san francisco y agustines;400;40.61898236288024, -0.1014860500774517;
5;alcañiz;cuartel alcañiz;120;41.04993408395654, -0.13319599537042037;
5;teruel;cuartel de carmelitas;400;40.341788091285565, -1.1090795373773623;
5;jaca;ciudadela;295;42.571975170407555, -0.5511714837190516;
5;jaca;cuartel de la puerta de estudio;471;42.566911107828496, -0.5501664489056987;
5;jaca;fuerte rapitan;150;42.5896344150922, -0.5337616400265128;
5;jaca;bateria baja del O del monte rapitan;15;;
5;canfranc;fuerte de coll de ladrones;200;42.76444750574898, -0.5092103529173787;
5;monzon;castillo;80;;
5;huesca;cuartel de la merced;380;42.13505890343804, -0.4054220637077203;
5;huesca;cuartel san juan;380;42.142178799999286, -0.40871562432230235;
5;huesca;cuartel de san vicente;200;42.141582013384614, -0.4073814776747755;
5;guadalajara;cuartel san carlos - colegio huerfanos;740;40.63818827875312, -3.1693351660218156;
5;guadalajara;cuartel san carlos - cuartel de aeroestacion;100;40.63818827875312, -3.1693351660218156;
5;molina de aragon;fuerte de las torres;100;40.84541922375716, -1.8871726340798642;
6;bilbao;manzana mar de san francisco;;43.25609999952789, -2.927429742334648;
6;bilbao;cuartel de la reina victoria y gobierno mar;;43.25683069678159, -2.9438321842085924;
6;santander;cuartel de maria cristina;500;43.4669910774261, -3.8063888308367617;
6;santoña;cuartel del sur;1030;43.43992619308684, -3.4495008405702516;
6;santoña;cuartel de san miguel;;43.438875983767616, -3.4473188542648816;
6;santoña;cuartel de velarde;250;43.43992619308684, -3.4495008405702516;
6;orduña;cuartel de la aduana;473;42.994712183099125, -3.010273809963608;
6;burgos;cuartel de caballeria;;42.34103003864939, -3.6978666118982075;
6;burgos;cuartel de infanteria;;42.342041798949005, -3.6920269738397704;
6;burgos;cuartel de san pablo;;42.33950986757052, -3.697523561983546;
6;burgos;cuartel de artilleria de fernan gonzalez;370;42.342973715555736, -3.689496952879643;
6;burgos;cuartel de infanteria rodrigo de vivar;640;42.342436758569406, -3.692795444359369;
6;burgos;cuartel de san francisco;60;;
6;palencia;cuartel de san fernando;;42.012882902726524, -4.538376580208284;
6;palencia;cuartel de alfonso xii;;41.998086017347966, -4.524500174140611;
6;san sebastian;cuartel a prueba;;43.324218147549175, -1.9906249500800324;
6;san sebastian;cuartel macho;;43.32502811741733, -1.9889082617144505;
