provincia,nombre,direccion,tipo,latlon
santa cruz de tenerife,Batallón de Zapadores XVI,Avenida de Ingenieros S/N. - La Cuesta de Arguijón-C.Postal 38320-San Cristobal de La Laguna. - Santa Cruz de Tenerife,base/cuartel,"28.46587334344752, -16.29063916264615"
santa cruz de tenerife,Batallón de Zapadores XVI,Calle Coronel Roche S/N. - Base General Alemán Ramírez - Las Palmas de GC,base/cuartel,"28.156307194247574, -15.425936686023052"
santa cruz de tenerife,Quinta Subinspección General del Ejército (Canarias),Edificio del Gobierno Militar de Santa cruz de Tenerife - Avenida 25 de Julio nº 1 - 38004 - Santa Cruz de Tenerife.,HQ,"28.468239682035172, -16.256307905396145"
santa cruz de tenerife,Agrupación de Apoyo Logístico nº 81,Acuartelamiento Ofra Vistabella,base/cuartel,"28.464520976953118, -16.288037820501472"
santa cruz de tenerife,Centro de Historia y Cultura Militar,"C/ San Isidro, 2 - 38001 - Santa Cruz de Tenerife (Tenerife)",museo,"28.475465771407034, -16.247685799732565"
santa cruz de tenerife,Museo Histórico Militar de Canarias - Santa Cruz de Tenerife,"C/ San Isidro, 2 - 38001 - Santa Cruz de Tenerife (Tenerife)",museo,"28.475465771407034, -16.247685799732565"
las palmas,Brigada 'Canarias' XVI,Calle Coronel Roche S/N. - Base General Alemán Ramírez - Las Palmas de GC,base/cuartel,"28.156307194247574, -15.425936686023052"
las palmas,Regimiento de Infantería 'Soria' nº 9,Acuartelamiento Puerto Rosario,base/cuartel,"28.50032594572312, -13.8555149775825"
las palmas,Regimiento de Infantería 'Canarias' nº 50,"Base ""General Alemán Ramírez""",base/cuartel,"28.156307194247574, -15.425936686023052"
las palmas,Regimiento de Artillería Antiaérea nº 94,BASE GENERAL ALEMÁN RAMÍREZ,base/cuartel,"28.156307194247574, -15.425936686023052"
las palmas,Batallón del Cuartel General de la Brigada 'Canarias' XVI,BASE GENERAL ALEMAN RAMIREZ,base/cuartel,"28.156307194247574, -15.425936686023052"
las palmas,Grupo Logístico XVI,Base General Alemán Ramírez,base/cuartel,"28.156307194247574, -15.425936686023052"
las palmas,Unidad de Apoyo a la Proyección 'Marques de Herrera',Acuartelamiento Marqués de Herrera,base/cuartel,"28.96863864441524, -13.56116678847014"
baleares,Cuartel General de la Comandancia General de Baleares,"Establecimiento ""Palacio de la Almudaina""",HQ,"39.56809555645755, 2.6474907757395916"
