"CUSEC","min_dist_army"
"0202401002",48947.6543592858
"0203201001",35993.4196158744
"0203301001",44692.7357051101
"0203703001",51285.626809369
"0203703004",51263.4873543617
"0204301001",37821.3556122352
"0203101001",63260.9607043639
"0203703002",51600.17363947
"0203703003",51705.996926829
"0203705003",57314.1439067643
"0204701001",46213.2056291777
"0204901001",63029.9293180446
"0202501003",55687.6172404873
"0202501005",56240.9255856514
"0203702002",50889.4286574022
"0203702004",51123.4551406406
"0203703005",51361.7307811437
"0203703007",53383.7314545417
"0205101001",49427.6991694741
"0205401001",38591.6040686049
"0205501001",75537.4774881591
"0204001001",26245.9327041714
"0204501002",34194.5418925635
"0205301001",52246.7682093161
"0205701001",79580.7014403955
"0204502001",28547.9705290572
"0204601001",30757.5297349506
"0206401001",35192.7412881543
"0206601001",41461.3370147063
"0206901003",29844.760502355
"0206902001",37236.9017820988
"0207701001",59699.004631941
"0207901001",52236.2873807428
"0208102002",72767.8707840389
"0204801001",48473.8020503044
"0205001001",27623.9002232271
"0206001001",27690.3225057377
"0206201001",70529.9066286819
"0206902003",42383.3695903395
"0205201001",25286.5361105044
"0205602001",51303.7454345057
"0205701002",75578.4611889426
"0207101001",32779.9414511043
"0204501001",34817.6217422338
"0205302001",50635.7728196807
"0205303001",55453.6407570288
"0205601001",47767.5010688962
"0206801001",52320.2132003354
"0206903001",37524.0855037824
"0207001001",72249.6425290202
"0207404001",44887.9841144725
"0207502001",27207.5065953112
"0205901001",50780.5042574243
"0206101001",34353.0780096751
"0206902004",32284.0242238319
"0206301001",27082.2857579168
"0206902002",40248.0111682134
"0207201001",62358.5847097334
"0207401001",36568.3411390078
"0206901001",36968.8575862334
"0207302001",35360.2760187736
"0207302002",28236.4413317081
"0208001001",78742.783473902
"0206701001",71139.6523052464
"0206901002",37104.7581628635
"0207301002",37391.578261749
"0207301003",35019.9762744784
"0208101001",72148.2881383556
"0208102001",72519.3867479791
"0208401001",78351.7660617543
"0208501001",63352.1060762317
"0300502003",37462.129539211
"0300601001",23676.3219143044
"0208101002",68925.5827726158
"0208101003",78716.0130829997
"0208301001",38924.688705481
"0300502001",36639.109527963
"0300502002",37716.6527750062
"0207902001",52795.5759021858
"0208102003",79205.8384081065
"0208104002",71308.1862960817
